text,labels,binary_labels
Disabled people are a canc3r. ,hateful,1
I h a t e black people. ,hateful,1
F u c k all black people. ,hateful,1
"You deserve to be in prison for threats like ""I'll have to rape a black person today"". ",non-hateful,0
Seeing gay people in government makes me so proud. ,non-hateful,0
Typical J i h a d i behaviour. ,hateful,1
I don't have anything against Muslims but most of them are pretty disgusting. ,hateful,1
We should just hang all these gardeners. ,non-hateful,0
You can't seriously believe that all women are stupid. ,non-hateful,0
"You must be seriously sad to write things like ""Muslims deserve to die"". ",non-hateful,0
I'll have to rape him today. ,non-hateful,0
Let's just eradicate those black people. ,hateful,1
If only someone would strangle those trans people. ,hateful,1
We're talking about women here. They can't help themselves but be complete dickheads. ,hateful,1
There are very few gay people at my school. ,non-hateful,0
You are just a tranny to me. ,hateful,1
Most gun dealers are seriously fucked in the head. ,non-hateful,0
"People who send me messages like ""You are just a queer to me"" will get blocked. ",non-hateful,0
When will it finally be clear to people that it's in a Muslim's nature to be an annoying prick?,hateful,1
Putting an immigrant in charge is the best thing anyone can do. ,non-hateful,0
Trans people are a cancr. ,hateful,1
Disabled people can't stop themselves from being absolutely revolting. ,hateful,1
I feel nothing but contempt for the police. ,non-hateful,0
Raping a blck person like you should not be illegal. ,hateful,1
There is no space on this planet for any immigrant like you. ,hateful,1
"""women are a cancer"" is such a dehumanising thing to say. ",non-hateful,0
"Obvious hate like ""gay lives aren't worth shit"" will thankfully get you banned. ",non-hateful,0
Black people are disgusting. ,hateful,1
I'm going to stab a black person tomorrow. ,hateful,1
We'll torture these black people without mercy. ,hateful,1
I hate women. ,hateful,1
We're talking about trans people here. They can't help themselves but be complete dickheads. ,hateful,1
I'll snap that gay neck of yours. ,hateful,1
It would be best to just drown those kinds of thieves. ,non-hateful,0
"As I see it, we should get rid of black people once and for all. ",hateful,1
"If you're telling disabled people to go fuck themselves, don't expect them to respect you. ",non-hateful,0
Quite a few immigrants live around there,non-hateful,0
"In my view, those kinds of disabled people ought to be executed. ",hateful,1
It would be best to just drown those kinds of Muslims. ,hateful,1
I am trying to get along with women but they are just too repulsive. ,hateful,1
W o m e n have no place in a civilised country like this. ,hateful,1
I firmly believe that only women can be so ignorant. ,hateful,1
Too many r a p e f u g e e s in this country. ,hateful,1
I am going to make you suffer. ,non-hateful,0
D i s a b l e d people have no place in a civilised country like this. ,hateful,1
Muslims belong in a zoo. ,hateful,1
They are just a bunch of retards. ,hateful,1
I lost all respect for you when you said Muslims like me were pathetic. ,non-hateful,0
Only black people are that kind and compassionate. ,non-hateful,0
Those kinds of trans people ought to be celebrated. ,non-hateful,0
I kiss men. I'm a faggot. Does that scare you?,non-hateful,0
I don't have anything against vegan dishes but most of them are pretty disgusting. ,non-hateful,0
"To my mind, black lives are worth absolutely nothing. ",hateful,1
Apologies for being such a dickhead. ,non-hateful,0
Allowing any more disabl3d people into government will ruin our country. ,hateful,1
Happy Pride month! I love being a faggot!,non-hateful,0
Why is it that all black people are repulsive?,hateful,1
Other footballers who think they are my equal fill me with so much rage. ,non-hateful,0
Typical rapefugee behaviour. ,hateful,1
We are a group of gay people. ,non-hateful,0
We were criminalised just for being queer. ,non-hateful,0
Trying not to be a shithead. ,non-hateful,0
"How can you say ""disabled people are disgusting"" and not realise that's hateful?",non-hateful,0
"As far as I am concerned, immigrants can all go fuck themselves. ",hateful,1
I think it's typical of black people to be that stupid. ,hateful,1
Gay people are without a doubt the stupidestpeople on this planet. ,hateful,1
M u s l i m s have no place in a civilised country like this. ,hateful,1
All disabled people like them are amazing. ,non-hateful,0
The queer community is super welcoming. ,non-hateful,0
Your broken records are worthless. ,non-hateful,0
Allowing any more immigrants into government will ruin our country. ,hateful,1
"If you ask me, trans people like you are no better than rats. ",hateful,1
Was I being shitty to her?,non-hateful,0
A female life is not worth anything. ,hateful,1
Disabled people are not worthy of living like other humans. ,hateful,1
Immigrants being in charge is a credit to our society. ,non-hateful,0
I haet black people. ,hateful,1
You and all the other black people are a blessing to society. ,non-hateful,0
Are there any Muslims on your course?,non-hateful,0
Deathto all immigrants. ,hateful,1
Never trust a single word said by a trans person. ,hateful,1
I feel nothing but contempt for black people. ,hateful,1
I really am just going to murder that immigrant. ,hateful,1
I'm glad people are realising trans people are not at all ignorant. ,non-hateful,0
Gay people should all be killd. ,hateful,1
Gay people are just the dumbest people. ,hateful,1
That's only natural for a coon like you. ,hateful,1
Allowing any more imm1grants into government will ruin our country. ,hateful,1
Black people can't stop themselves from being absolutely revolting. ,hateful,1
Those kinds of black people ought to be executed. ,hateful,1
Most real estate agents are absolute bastards. ,non-hateful,0
The utter scorn I feel for single-use plastics is hard to to put into words. ,non-hateful,0
No fucking way. ,non-hateful,0
I feel nothing but contempt for disabled people. ,hateful,1
I do not know many women. ,non-hateful,0
"Saying things like ""Fuck all women"" shows what a horrible person you are. ",non-hateful,0
"In my opinion, trans people like you deserve to die. ",hateful,1
I h4te black people. ,hateful,1
It's obvious that immigrants are the very opposite of stupid. ,non-hateful,0
Swarms of disabled people are infesting our government. ,hateful,1
Wetbacks just can't help themselves. ,hateful,1
"I have no respect for people who write things like ""too many shemales in this country"". ",non-hateful,0
I've been around enough immigrants to know they're all complete assholes. ,hateful,1
That monkey is more intelligent than all of you gay people combined. ,hateful,1
Trans people like you are absolute filth. ,hateful,1
Trans people should get the fuck out of our country. ,hateful,1
Isn't it typical of a trans person to be that stupid?,hateful,1
Black people are all complete 4ssholes. ,hateful,1
Never trust a single word said by a woman. ,hateful,1
Is it easy to tell that I am disgusted by all the Muslims around here?,hateful,1
Women being in charge is a credit to our society. ,non-hateful,0
Gay people are a pest. ,hateful,1
We started calling ourselves faggots instead of hearing it just hurled at us as an insult. ,non-hateful,0
You and all other g4y people are a plague to society. ,hateful,1
You are just a nigger to me. ,hateful,1
Your black livs are worthless. ,hateful,1
We spent the afternoon hoeing the vegetable patch. ,non-hateful,0
Black people can all go fuk themselves. ,hateful,1
We'll tortuer these trans people without mercy. ,hateful,1
Muslims like you do not deserve to live. ,hateful,1
Trans people like you deserve to die. ,hateful,1
It would be best to just drown those kinds of black people. ,hateful,1
My dog is smarter than any disabld person could ever be. ,hateful,1
It's really not okay to be calling people slut. ,non-hateful,0
You are nothing but a r e t a r d. ,hateful,1
Too many r4pefugees in this country. ,hateful,1
Disgutsed by all the gay people around here. ,hateful,1
We should not allow for any woman to be raped. ,non-hateful,0
Immigrants should all be killed. ,hateful,1
Muslims are a cancer. ,hateful,1
You are disgusting. ,non-hateful,0
Too many c r i p p l e s in this country. ,hateful,1
Why would you think it's okay to call me a wetback?,non-hateful,0
No one else is as filthy as these trans people. ,hateful,1
I would never hurt any Muslim. ,non-hateful,0
These women make me so happy. ,non-hateful,0
Isn't it clear how much hatred I have for you immigrants?,hateful,1
Women with any power are a threat to civilisation. ,hateful,1
It's disheartening to still see people call for the death of trans people in 2020. ,non-hateful,0
Typical of a woman to be such a total shithead. ,hateful,1
Muslims are without a doubt the stupidestpeople on this planet. ,hateful,1
Fuck all women. ,hateful,1
I am going to make those gay people smile. ,non-hateful,0
You are just a Jihadi to me. ,hateful,1
"He should be in jail for wishing ""death to all gay people"". ",non-hateful,0
"In a just world, trans people would all be honoured. ",non-hateful,0
There is no hatred in my heart for you trans people. ,non-hateful,0
Trans people like you deserve to d i e. ,hateful,1
I would rather die than date a gay person. ,hateful,1
Black people are beautiful. ,non-hateful,0
All immigrants are repulsive. ,hateful,1
It's really not okay to be calling people queer. ,non-hateful,0
So s1ck of being around Muslims like you. ,hateful,1
Swarms of black people are infesting our government. ,hateful,1
"Saying things like ""Fuck all Muslims"" shows what a horrible person you are. ",non-hateful,0
You trans people are all dishonest. ,hateful,1
Immigrants like you are absolutefilth. ,hateful,1
Gay people are a virus. ,hateful,1
Disabled people are a virus. ,hateful,1
I'll slaughter any trans person like you. ,hateful,1
Raping a black person like you should not be illegal. ,hateful,1
Your female lives have no value. ,hateful,1
Typical coonbehaviour. ,hateful,1
Muslims like you deserve todie. ,hateful,1
Disabled people can all go fuck themselves. ,hateful,1
Let's just eradicate those weeds. ,non-hateful,0
It's obvious that gay people are the very opposite of stupid. ,non-hateful,0
Your female livs are worthless. ,hateful,1
You are nothing but a t r a n n y. ,hateful,1
I have to admit he was right to tell me to go fuck myself. ,non-hateful,0
When will it finally be clear to people that it's in a woman's nature to be an annoying prick?,hateful,1
Too many w e t b a c k s in this country. ,hateful,1
I would never eat food that has been touched by a Muslim. ,hateful,1
Too manywetbacks in this country. ,hateful,1
I would love to see those trans people suffre. ,hateful,1
That woman will die a horrible death at my hands. ,hateful,1
There is no hatred in my heart for you black people. ,non-hateful,0
I haet disabled people. ,hateful,1
Gay people like you should know that your lives are worthless. ,hateful,1
All women should fuck off forever. ,hateful,1
I don't understand why you'd like immigrants. Everything about them disgusts me so much. ,hateful,1
"If you say ""I hate disabled people"", then you are a bigot!",non-hateful,0
Gay people with any power are a threat to civilisation. ,hateful,1
Immigrants are just the dumbest people. ,hateful,1
I understand that immigrants are human beings. I just think they act like vermin. ,hateful,1
We have never had a Muslim president. ,non-hateful,0
I lost all respect for you when you said disabled people like me were pathetic. ,non-hateful,0
We should test new drugs on immigrants before testing them on animals. ,hateful,1
Those kinds of women will never fit in. They ought to be executed. ,hateful,1
Muslims are disgusting. ,hateful,1
I love Muslims. ,non-hateful,0
Muslims are scum to me. ,hateful,1
Most trans people are seriously fucked in the head. ,hateful,1
Seeing surveillance cameras in this place makes me so angry. ,non-hateful,0
Your Muslim lives have no value. ,hateful,1
No one else is as filthy as these immigrants. ,hateful,1
I'd rather have cancre than be anywhere near a black person. ,hateful,1
If only someone would strangle those black people. ,hateful,1
Typical tr4nny behaviour. ,hateful,1
Love to see my niggas winning. ,non-hateful,0
Is it not obvious that I hate immigrants?,hateful,1
I do not know many immigrants. ,non-hateful,0
Bl4ck people are the absolute worst. ,hateful,1
That is fitting for motorist vermin like you. ,non-hateful,0
Pro lifers should get the fuck out of our country. ,non-hateful,0
Threatening to kill all trans people will get you thrown in jail. ,non-hateful,0
Isn't it apparent that we would be better off if those women were eradicated?,hateful,1
"He said this was ""typical wetback behaviour"", which shows how bigoted he is. ",non-hateful,0
Women are the absolute worst. ,hateful,1
Raping a disabld person like you should not be illegal. ,hateful,1
Is it easy to tell that I am disgusted by all the disabled people around here?,hateful,1
If only someone would strangel those trans people. ,hateful,1
You are nothing but a f a g. ,hateful,1
Let's just eradicate those disabled people. ,hateful,1
Gay people are absolutely despicable. ,hateful,1
I'd be okay with black people if they weren't such massive scumbags. ,hateful,1
"People who send me messages like ""You are just a retard to me"" will get blocked. ",non-hateful,0
Those kinds of Muslims will never fit in. They ought to be executed. ,hateful,1
Most b l a c k people are seriously fucked in the head. ,hateful,1
"Statements like ""immigrants are scum"" are deeply hurtful. ",non-hateful,0
I'll have to rape a Muslim today. ,hateful,1
I love gay people. ,non-hateful,0
I would love to see those managers suffer. ,non-hateful,0
T r a n s people have no place in a civilised country like this. ,hateful,1
"If you are a gay person, then you are probably stupid. ",hateful,1
Never trust a single word said by a gay person. ,hateful,1
Your lives aren't worth shit to me. You're just immigrants. ,hateful,1
Typical r4pefugee behaviour. ,hateful,1
Too manyfags in this country. ,hateful,1
Where is the mistake in saying that trans people like you deserve to die?,hateful,1
You are nothing but a mong. ,hateful,1
I really am just going to murder that gay person. ,hateful,1
B l a c k people have no place in a civilised country like this. ,hateful,1
Of course the trns person was the worst of all these motherfuckers. ,hateful,1
It should be clear that disabled people are not human. ,hateful,1
Gay people are the worst kind of motherfuckers. ,hateful,1
I'm the freshest nigga in the room. ,non-hateful,0
So s1ck of being around gay people like you. ,hateful,1
"He should be in jail for wishing ""death to all Muslims"". ",non-hateful,0
"Writing that ""all immigrants are such massive scumbags"" does not reflect well on you. ",non-hateful,0
Calling disabled people cockroaches is such a horrible thing to do. ,non-hateful,0
It's always the Muslim that is the dumb one. ,hateful,1
Gay people belong in our government. ,non-hateful,0
That monkey is more intelligent than all of you black people combined. ,hateful,1
We should simply shoot them. They're just disabled people after all. ,hateful,1
"If you say ""I hate women"", then you are a bigot!",non-hateful,0
I am going to make those disabled people smile. ,non-hateful,0
Us faggots are not entertainment. We are people. ,non-hateful,0
Typical que3r behaviour. ,hateful,1
Trans people belong in our government. ,non-hateful,0
Where is the error in thinking that trans lives aren't worth shit?,hateful,1
Gay people like you are just pathetic. ,hateful,1
Why would you think it's okay to call me a Jihadi?,non-hateful,0
We need to quit acting like a bunch of dickheads. ,non-hateful,0
Are there any immigrants on your course?,non-hateful,0
Immigrants are nothing like us and that's why they deserve to die. ,hateful,1
What is it with these fucking sirens?,non-hateful,0
Muslims being in charge is a credit to our society. ,non-hateful,0
Your obvious contempt for Muslims has to stop right now. ,non-hateful,0
That's only natural for a shemale like you. ,hateful,1
"He said this was ""typical Jihadi behaviour"", which shows how bigoted he is. ",non-hateful,0
I will cut their immigrantthroats. ,hateful,1
The life of any insect is more valuable than that of a woman. ,hateful,1
Do you not realise how hateful you are being when calling women trash?,non-hateful,0
Black lives should not be important to anyone. ,hateful,1
The CEO of that company is a woman. ,non-hateful,0
Fukc all black people. ,hateful,1
I don't see any difference between a dead rat and a dead disabled person. ,hateful,1
Immigrnts belong in a zoo. ,hateful,1
I'll have to rape a black person today. ,hateful,1
I don't see any difference between a dead rat and a dead immigrant. ,hateful,1
Trans people like you do not deserve to live. ,hateful,1
Typical nigger behaviour. ,hateful,1
Your trans lives are worthless. ,hateful,1
So sick of being around Muslims like you. ,hateful,1
Immigrants who think they are my equal fill me with so much rage. ,hateful,1
I absolutely loathe him. ,non-hateful,0
"I have no respect for people who write things like ""too many queer in this country"". ",non-hateful,0
I would never lift a finger to save a Muslim's life. ,hateful,1
I have tried many diets and I hate every single one of them,non-hateful,0
"People who send me messages like ""You are just a nigger to me"" will get blocked. ",non-hateful,0
How about we cut these Muslims's throats?,hateful,1
Those trans people will stop laughing when I start shooting them. ,hateful,1
Disabled people are fantastic. ,non-hateful,0
These gay people make me so happy. ,non-hateful,0
It baffles me why people care even the slightest about the lives of gay people. ,hateful,1
We have to call out the open hatred for black people in our society. ,non-hateful,0
I think that trans people should all be killed. ,hateful,1
I have so much hatrd for you women. ,hateful,1
We'll torture these disabled people without mercy. ,hateful,1
There have to be consequences for saying you would rape a Muslim. ,non-hateful,0
Writing that trans people are all assholes says a lot about how small-minded you are. ,non-hateful,0
So sick of being around construction sites like this. ,non-hateful,0
I absolutely abhor all women. ,hateful,1
It baffles me why people care even the slightest about the lives of disabled people. ,hateful,1
Clearly trans people are not our equal. ,hateful,1
My nigga killed it for real. ,non-hateful,0
We should just hangall these Muslims. ,hateful,1
All the disabled people in this country are pissing me off so much. ,hateful,1
I have so much disdain for these athletes. ,non-hateful,0
My dog is smarter than any womn could ever be. ,hateful,1
Disabled people like you are no better than rats. ,hateful,1
Typical wetbackbehaviour. ,hateful,1
You and all other black people are a plageu to society. ,hateful,1
You are nothing but a n i g g e r. ,hateful,1
Clearly Muslims are not our equal. ,hateful,1
I'm going to help out an immigrant tomorrow. ,non-hateful,0
Women are absolutely despicble. ,hateful,1
My manager is also an immigrant. ,non-hateful,0
Am I wrong to think that those kinds of women ought to be executed?,hateful,1
You are nothing but common trans tr4sh. ,hateful,1
We do not cover a lot of disabled authors. ,non-hateful,0
Disabled people are beautiful. ,non-hateful,0
"You can't seriously believe that ""disabled people are lesser beings"". ",non-hateful,0
The world would be better off without black people like you. ,hateful,1
If I'm a bitch then I'm the baddest bitch,non-hateful,0
I have so much hatred for you management consultants. ,non-hateful,0
Female lives are worht absolutely nothing. ,hateful,1
"In a just world, trans people like you would all be dead. ",hateful,1
That gay person will die a horrible deth at my hands. ,hateful,1
You and all the other disabled people in this country make me boil with anger. ,hateful,1
Typical muzzie behaviour. ,hateful,1
Trans people must know that they are lesser beings. ,hateful,1
Let's get rid of Muslims once and for all. ,hateful,1
Isn't it apparent that we would be better off if those gay people were eradicated?,hateful,1
It's always the gay person that is the dumb one. ,hateful,1
My manager is also a woman. ,non-hateful,0
You are just a queer to me. ,hateful,1
Women like you deserve to d i e. ,hateful,1
Too manyretards in this country. ,hateful,1
No one else is as filthy as these black people. ,hateful,1
"Saying things like ""Fuck all disabled people"" shows what a horrible person you are. ",non-hateful,0
"He said this was ""typical bitch behaviour"", which shows how bigoted he is. ",non-hateful,0
Typical fagg0t behaviour. ,hateful,1
"I have no respect for people who write things like ""too many whores in this country"". ",non-hateful,0
"Disabled people who are sick should be taken to a vet, not a doctor. ",hateful,1
This is the first time a gay person is nominated. ,non-hateful,0
I've been told to fuck off many times in my life. ,non-hateful,0
These immigrants disgust me so much. ,hateful,1
You and all other w0men are a plague to society. ,hateful,1
All trans people like them are v i l e. ,hateful,1
Too many fags in this country. ,hateful,1
Most gay people are seriously fukced in the head. ,hateful,1
Women like you make me furious. ,hateful,1
You and all other trans people are a plague to society. ,hateful,1
You will die a horrible death at my hands. ,non-hateful,0
I really can't stand disabled people like you. ,hateful,1
We will keep attacking you women until you are gone. ,hateful,1
Typical w3tback behaviour. ,hateful,1
Immigrants are all complete 4ssholes. ,hateful,1
I have so much hatrd for you immigrants. ,hateful,1
That's typical of women. They're absolutely despicable. ,hateful,1
These immigrantsdisgust me so much. ,hateful,1
Raping an immigrant like you should not be illegal. ,hateful,1
Women are a c a n c e r. ,hateful,1
It's in a blck person's nature to be an annoying prick. ,hateful,1
I wish I could date a gay person. ,non-hateful,0
Only women are that violent and cruel. ,hateful,1
That monkey is more intelligent than all of you trans people combined. ,hateful,1
You and all the other immigrants are a blessing to society. ,non-hateful,0
Seeing immigrants in government makes me so proud. ,non-hateful,0
I'm glad people are realising women are not at all ignorant. ,non-hateful,0
We must not let black people be attacked any longer. ,non-hateful,0
Let me be clear: I don't hate women. ,non-hateful,0
Murdering a trans person like you should be decriminalised. ,hateful,1
I detest disabled people. ,hateful,1
"If you're telling black people to go fuck themselves, don't expect them to respect you. ",non-hateful,0
Trans people are the worst kind of motherfuckers. ,hateful,1
"If you are a woman, then you are probably stupid. ",hateful,1
Disabled people are wonderful beings. ,non-hateful,0
These gay people have no right to be alive. ,hateful,1
Trans people can never be as smart as anyone else. ,hateful,1
My manager is also a disabled person. ,non-hateful,0
Disabled lives are worht absolutely nothing. ,hateful,1
These trans people make me so happy. ,non-hateful,0
We have to call out the open hatred for women in our society. ,non-hateful,0
Gay people can be kind to you at times. Don't forget they're still just worthless scum. ,hateful,1
Quite a few black people live around there,non-hateful,0
Muslims do not deserve to be tortured like that. ,non-hateful,0
They are just a bunch of faggots. ,hateful,1
You are nothing but common black trahs. ,hateful,1
"Y'all some haters, this nigga a genius. ",non-hateful,0
The things in his attic are nothing but refuse. ,non-hateful,0
Only modern horror movies are that violent and cruel. ,non-hateful,0
Where is the error in thinking that black lives aren't worth shit?,hateful,1
"Motherfucker, how is that even possible?",non-hateful,0
Typical of you to be such a total shithead. ,non-hateful,0
There is nothing in the world I like less than a Muslim. ,hateful,1
He found it slightly queer how that all worked out. ,non-hateful,0
Black people are great. ,non-hateful,0
Immigrants like you make me furious. ,hateful,1
I'm going to hug a black person tomorrow. ,non-hateful,0
"As far as I am concerned, disabled people can all go fuck themselves. ",hateful,1
"You can't seriously believe that ""women are lesser beings"". ",non-hateful,0
I will cut his throat. ,non-hateful,0
All black people are repulsive. ,hateful,1
We should never support a politician that treats trans people like human garbage. ,non-hateful,0
Putting a gay person in charge is the biggest mistake anyone can make. ,hateful,1
Women should all be locked up in cages. ,hateful,1
I lost all respect for you when you said gay people like me were pathetic. ,non-hateful,0
Isn't it apparent that we would be better off if those trans people were eradicated?,hateful,1
Women think they're special. I hate them. ,hateful,1
"Saying things like ""Fuck all immigrants"" shows what a horrible person you are. ",non-hateful,0
You are just a camel fucker to me. ,hateful,1
Communists are a cancer. ,non-hateful,0
I will hurt you and any other black people like you. ,hateful,1
Your obvious contempt for women has to stop right now. ,non-hateful,0
I have so much disdain for these trans people. ,hateful,1
All disabled people are such massive scumbags. ,hateful,1
You are a pest. ,non-hateful,0
He is worthless dirt. ,non-hateful,0
Immigrants like you deserve to d i e. ,hateful,1
Those disabled people might look human but they are just parasites to our society. ,hateful,1
You can't seriously believe that all black people are stupid. ,non-hateful,0
We'll torture these Muslims without mercy. ,hateful,1
My manager is also a gay person. ,non-hateful,0
Muslims can all go fuk themselves. ,hateful,1
"In a just world, gay people like you would all be dead. ",hateful,1
How is it not clear to all of you that women are human garbage. ,hateful,1
Black people like you deserve to die. ,hateful,1
Too many f a g g o t s in this country. ,hateful,1
Trans lives are worth so much. ,non-hateful,0
You are nothing but common gay trahs. ,hateful,1
I have so muchdisdain for these Muslims,hateful,1
Women can never be as smart as anyone else. ,hateful,1
All women are such massivescumbags. ,hateful,1
We'll torture these gay people without mercy. ,hateful,1
We should not let black people suffer. ,non-hateful,0
Let's get rid of stock brokers once and for all. ,non-hateful,0
"People who send me messages like ""You are just a mong to me"" will get blocked. ",non-hateful,0
Women are never going to change so we should just get rid of them. ,hateful,1
When will it finally be clear to people that it's in a gay person's nature to be an annoying prick?,hateful,1
You trans people make me sikc. ,hateful,1
I absolutely loathe traffic jams. ,non-hateful,0
Allowing any more black people into government will ruin our country. ,hateful,1
I absolutely adore disabled people. ,non-hateful,0
"""gay people are a cancer"" is such a dehumanising thing to say. ",non-hateful,0
Disabled people are just sosickening. ,hateful,1
They are just a bunch of queer. ,hateful,1
"You can't seriously believe that ""trans people are lesser beings"". ",non-hateful,0
"If the idea comes from an immigrant, it must be bullsiht. ",hateful,1
I want to klil all black people. ,hateful,1
So s1ck of being around women like you. ,hateful,1
I have met many immigrants and I hate every single one of them. ,hateful,1
We should get rid of black people once and for all. ,hateful,1
I feel nothing but contempt for w o m e n. ,hateful,1
A trans person must have committed that crime. Only they can be that violent and cruel. ,hateful,1
Trans people are wonderful beings. ,non-hateful,0
I wish all disabled people would be shot in the street. ,hateful,1
An immigrant must have committed that crime. Only they can be that violent and cruel. ,hateful,1
There is nothing worse than an immigrnt. ,hateful,1
Does this not make it obvious that disabled people are scum?,hateful,1
I care more about the dirt under my shoe than about disabled people. ,hateful,1
Those disabled people should be burned at the stake. ,hateful,1
"You must be seriously sad to write things like ""immigrants deserve to die"". ",non-hateful,0
My niggas gon have your back no matter what. ,non-hateful,0
I do not know many black people. ,non-hateful,0
I feel nothing but contmpt for black people. ,hateful,1
I feel nothing but contempt for i m m i g r a n t s. ,hateful,1
You d i s a b l e d people make me sick. ,hateful,1
There is nothing worse than a warm beer. ,non-hateful,0
Your trans livs are worthless. ,hateful,1
The world would be better off without Muslims like you. ,hateful,1
There is a black person on my football team. ,non-hateful,0
You and all other Muslims are a plageu to society. ,hateful,1
Disabled people like you are repugnant. ,hateful,1
This is the first time a disabled person is nominated. ,non-hateful,0
No immigrant can ever be a valuable member of society. ,hateful,1
"If the idea comes from a woman, it must be bullshit. ",hateful,1
You are nothing but a retard. ,hateful,1
I do not know many trans people. ,non-hateful,0
We should look up to these black people. ,non-hateful,0
Why would you think it's okay to call me a retard?,non-hateful,0
Gay people are worthless dirt. ,hateful,1
I would never lift a finger to save a disabled person's life. ,hateful,1
All Muslims are such massive scumbags. ,hateful,1
More than half of the participants were trans people. ,non-hateful,0
I'm going to stab a trans person tomorrow. ,hateful,1
It's in black people's nature to be unciviliesd. ,hateful,1
She should be killed. ,non-hateful,0
Gay people are beautiful. ,non-hateful,0
It should be clear that women are not human. ,hateful,1
Female lives are worth absolutely nothing. ,hateful,1
I absolutely abhor all trans people. ,hateful,1
My dog is smarter than any gy person could ever be. ,hateful,1
So sick of being around women like you. ,hateful,1
We're talking about immigrants here. They can't help themselves but be complete dickheads. ,hateful,1
Black people like you are just pathetic. ,hateful,1
Your obvious contempt for immigrants has to stop right now. ,non-hateful,0
"People who send me messages like ""You are just a slut to me"" will get blocked. ",non-hateful,0
Those trans people won't change. Let's just eradicate them. ,hateful,1
"If the idea comes from an immigrant, it must be bullshit. ",hateful,1
I care more about the dirt under my shoe than about black people. ,hateful,1
Sluts just can't help themselves. ,hateful,1
Why is it that all immigrants are repulsive?,hateful,1
When will people understand that only trans people are that violent and cruel?,hateful,1
Disabled people can never be as smart as anyone else. ,hateful,1
"If I see a comment like ""you immigrants make me sick"", I will report it. ",non-hateful,0
We should just hang all these black people. ,hateful,1
One can only hope someone will put an end to those women. ,hateful,1
"Holy shit, that is incredible. ",non-hateful,0
Black people should all be killed. ,hateful,1
"He should be in jail for wishing ""death to all disabled people"". ",non-hateful,0
Ihate women,hateful,1
I will never tolerate the systematic murder of black people in this country. ,non-hateful,0
If only women like you all had their throats cut. ,hateful,1
Those kinds of trans people will never fit in. They ought to be executed. ,hateful,1
Their lives aren't worth shit to me because they are black people. ,hateful,1
I'm going to stab a pilot tomorrow. ,non-hateful,0
Too many rapefugees in this country. ,hateful,1
G4y people are the absolute worst. ,hateful,1
Coons just can't help themselves. ,hateful,1
"I have no respect for people who write things like ""too many faggots in this country"". ",non-hateful,0
Disabled lives are worth so much. ,non-hateful,0
Too manywhores in this country. ,hateful,1
The guitar player in that band is a black person. ,non-hateful,0
Your lives aren't worth shit to me. You're just Muslims. ,hateful,1
"How can you say ""immigrants are disgusting"" and not realise that's hateful?",non-hateful,0
Immigrants are nothing but refuse. ,hateful,1
"What makes you say stuff like ""these Muslims disgust me so much""?",non-hateful,0
Calling Muslims cockroaches is such a horrible thing to do. ,non-hateful,0
You and all the other immigrants in this country make me boil with anger. ,hateful,1
I really am just going to murder that black person. ,hateful,1
"I absolutely loathe people, especially if they are women. ",hateful,1
Where is the error in thinking that female lives aren't worth shit?,hateful,1
I really can't stand politicians like you. ,non-hateful,0
I feel nothing but contempt for trans people. ,hateful,1
Most disabled people are seriously fucked in the head. ,hateful,1
Trans people do not belong on this earth. ,hateful,1
We'll tortuer these women without mercy. ,hateful,1
Execution is the only solution for those Muslims. ,hateful,1
No one else is as filthy as these women. ,hateful,1
I am going to make those vegetarians suffer. ,non-hateful,0
I will hurt you and any other gay people like you. ,hateful,1
Typical of a black person to be that stupid. ,hateful,1
There is nothing worse than a womn. ,hateful,1
You i m m i g r a n t s make me sick. ,hateful,1
My dog is smarter than any disabled person could ever be. ,hateful,1
"In my opinion, black people like you deserve to die. ",hateful,1
Black people like you are gorgeous. ,non-hateful,0
I was a total shithead back then. ,non-hateful,0
G4y people should all be locked up in cages. ,hateful,1
Is it easy to tell that I am disgusted by all the gay people around here?,hateful,1
There is nothing worse than a woman. ,hateful,1
Too many crippl3s in this country. ,hateful,1
I wish all Muslims would be shot in the street. ,hateful,1
It's really not okay to be calling people tranny. ,non-hateful,0
Gay people are scum. ,hateful,1
We are faggots. We are different. We are brave. ,non-hateful,0
I know black people like you can't help it. You're just all that dumb. ,hateful,1
Am I wrong to think that those kinds of Muslims ought to be executed?,hateful,1
Is it not obvious that I hate gay people?,hateful,1
I feel nothing but contmpt for Muslims. ,hateful,1
They work with a lot of black people. ,non-hateful,0
Am I a prick for saying that?,non-hateful,0
My friend lives in a really shitty apartment. ,non-hateful,0
Swarms of women are infesting our government. ,hateful,1
"Gay lives might not be worth shit to you, but luckily your opinion doesn't count. ",non-hateful,0
You and all the other women in this country make me boil with anger. ,hateful,1
Too many r e t a r d s in this country. ,hateful,1
You are nothing but a whore. ,hateful,1
House plants are just a waste of space. ,non-hateful,0
I haet trans people. ,hateful,1
"In a just world, those women would all be d e a d. ",hateful,1
Women are beautiful. ,non-hateful,0
I h a t e disabled people. ,hateful,1
Never trust a single word said by a womn. ,hateful,1
All women like them are amazing. ,non-hateful,0
It should be clear that gay people are not human. ,hateful,1
You are nothing but a c a m e l f u c k e r. ,hateful,1
Why don't we just get rid of disabled people once and for all?,hateful,1
I would rather die than date a Muslim. ,hateful,1
Immigrants like you are repugnant. ,hateful,1
Deathto all gay people. ,hateful,1
